state,fips,population
72,72013,91096
72,72015,18778
72,72017,24699
72,72019,29548
72,72021,192974
72,72023,50096
72,72025,136372
72,72027,33481
72,72029,47174
72,72031,165040
72,72033,26137
72,72035,46071
72,72037,12538
72,72039,17644
72,72041,41782
72,72043,40090
72,72045,20153
72,72047,35484
72,72051,38013
72,72053,33912
72,72054,12287
72,72055,17788
72,72057,43210
72,72059,20025
72,72061,92444
51,51595,5565
51,51600,23620
51,51610,13597
51,51620,8413
51,51630,27853
51,51640,6858
51,51650,136789
51,51660,51979
51,51670,22332
51,51678,7036
51,51680,78755
51,51683,41149
51,51685,15827
51,51690,13551
51,51700,181606
51,51710,245724
51,51730,31997
51,51735,12068
51,51740,96071
51,51750,17186
51,51760,216773
51,51770,99329
51,51775,25290
51,51790,24234
51,51800,87061
51,51810,449733
51,51820,21366
51,51830,14988
51,51840,27349
53,53001,19100
53,53003,22113
53,53005,187519
53,53007,74761
53,53009,72969
53,53011,450893
53,53015,102854
53,53017,40101
53,53019,7639
53,53021,87810
53,53025,92530
53,53027,71233
53,53029,80113
53,53031,30333
53,53033,2079550
53,53035,257488
53,53037,42785
53,53039,20930
53,53041,75724
53,53043,10326
53,53045,61060
53,53047,41299
53,53049,20743
53,53051,13001
53,53053,832896
53,53055,16056
53,53057,120475
53,53059,11316
53,53061,758649
53,53063,485859
53,53065,43744
53,53067,266311
53,53071,59809
53,53073,209729
53,53075,47494
53,53077,247681
54,54001,16892
54,54003,110173
54,54005,23645
54,54007,14463
54,54009,23473
54,54011,96623
54,54013,7482
54,54015,9033
54,54017,8363
54,54019,45192
54,54021,8497
54,54023,11770
54,54025,35580
54,54027,23455
54,54029,30024
54,54031,13942
54,54033,68775
54,54035,29199
54,54037,55531
54,54039,189636
54,54041,16422
54,54043,21482
54,54045,35166
54,54047,20273
54,54049,56716
54,54051,32296
54,54053,27060
54,54055,61476
54,54057,27606
54,54059,25549
54,54061,102827
54,54063,13496
54,54065,17514
54,54067,25743
54,54069,43257
54,54071,7291
54,54073,7612
54,54075,8620
54,54077,33793
54,54079,56743
54,54081,78051
54,54083,29287
54,54085,10044
54,54087,14513
54,54089,13325
54,54091,16949
54,54093,6922
54,54095,9000
54,54097,24632
54,54099,41237
54,54101,8820
54,54103,15997
54,54105,5826
54,54107,86262
54,54109,22537
55,55001,20294
55,55003,15936
55,55005,45548
55,55007,14987
55,55009,256621
55,55011,13256
55,55013,15259
55,55015,49653
55,55017,63355
55,55019,34486
55,55021,56650
55,55023,16415
55,55025,516818
55,55027,88404
55,55029,27669
55,55031,43705
55,55033,44348
55,55035,101907
55,55039,101968
55,55041,9108
55,55043,51723
55,55045,37050
55,55047,18881
55,55049,23751
55,55051,5850
55,55053,20566
55,55055,84538
55,55057,26399
55,55059,167896
55,55061,20459
55,55063,117538
55,55065,16793
55,55067,19414
55,55069,28171
55,55071,80178
55,55073,135367
55,55075,41090
55,55077,15082
55,55079,955306
55,55081,45365
55,55083,37475
55,55085,35604
48,48013,47710
48,48015,29107
48,48017,7131
48,48019,21015
48,48021,78286
48,48025,32706
48,48027,330859
48,48029,1858699
48,48031,10918
48,48035,17953
48,48037,93483
48,48039,338419
48,48041,209896
48,48043,9188
48,48047,7217
48,48049,37935
48,48051,17417
48,48053,44584
